 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
 !!! 
max !!! 
1 10000  
1 10000  
1 10000  
1 10000  
1 10000  
2 10000  
1 10000  
5   
5 12345  
1 088112  
2 095330  
3 154355  
4 15489  
5 8602  
6 14140  
7 16872  
8 12071  
9 13038  
9 13016  
10 1772  
11 5997  
13 11071  
14 15745  
15 16679  
16 15823  
17 15007  
18 17449  
19 12094  
20 20214  
21 2629  
22 19995  
23 9923  
24 7726  
25 14472  
26 10349  
27 9498  
28 323  
29 367  
30 12808  
31 15415  
32 15365  
33 12065  
34 12879  
35 14792  
36 12699  
37 8122  
38 14194  
39 8339  
40 16442  
41 9520  
42 18334  
43 15739  
45 11291  
46 9306  
47 8806  
48 6196  
49 9861  
50 14228  
51 9445  
52 8393  
53 5393  
54 5634  
55 8770  
56 10000  
57 11034  
58 9188  
59 11477  
60 8126  
61 12339  
62 13306  
63 7726  
63 13612  
64 14212  
66 12986  
67 14891  
68 12442  
69 8310  
70 16207  
71 7086  
72 16003  
73 11579  
74 8239  
75 11822  
76 10516  
77 13849  
78 8548  
79 5169  
80 4469  
81 19879  
82 6587  
83 17030  
84 14222  
85 12285  
86 10501  
87 12676  
88 11993  
89 9266  
90 12855  
91 9440  
12 6023  
22 20294  
22 20294  
45 11492  
44 07161  
67 15023  
46 09429  
47 08943  
48 06354  
49 10052  
63 07963  
64 13698  
65 14479  
66 13304  
62 13494  
61 12567  
60 08301  
59 11746  
58 09268  
57 11258  
56 10190  
55 08939  
54 05878  
53 05415  
52 08454  
51 09647  
50 14370  
91 09622  
90 13019  
89 09496  
88 12308  
87 13012  
86 10666  
85 12493  
84 14553  
83 17566  
82 06699  
81 20174  
80 04541  
79 05498  
78 08660  
77 14126  
76 10561  
75 11917  
74 08400  
73 11877  
72 16307  
71 07180  
70 16317  
69 08610  
68 12591  
22 20297  
23 10098  
24 07835  
25 14681  
26 10633  
27 09629  
28 00433  
30 12943  
31 15528  
32 15633  
33 12342  
34 13076  
35 14905  
36 12958  
37 08237  
38 14553  
39 08448  
40 16747  
41 09653  
42 18611  
43 15739  
27 09629  
28 00375  
29 00433  
1 08944  
2 09609  
3 15555  
4 15679  
5 08734  
6 14285  
7 17023  
8 12277  
9 13249  
10 13204  
11 01772  
12 06139  
13 11263  
14 15921  
15 16930  
17 15150  
18 17771  
19 12172  
20 20528  
21 02730  
16 16123  
   
22 20501  
44 73055  
45 11685  
46 9503  
47 9044  
48 6462  
49 10214  
50 14519  
51 9727  
52 8518  
53 5526  
54 6116  
55 9125  
57 11447  
58 9469  
59 12005  
60 8496  
61 12841  
62 13584  
64 13747  
65 14605  
66 13437  
67 15024  
68 12591  
69 8867  
70 16426  
71 7295  
72 16638  
74 8469  
75 12009  
76 10613  
77 14430  
79 5680  
81 20397  
86 10746  
87 13313  
89 9740  
1 8964  
2 9682  
3 15702  
4 15859  
5 8797  
6 14488  
10 13205  
11 1846  
12 6291  
12 6291  
13 11411  
13   
13 11411  
14 16077  
15 17158  
16 16394  
17 15306  
18 18004  
20 20718  
21 2878  
22 20577  
23 10238  
24 7937  
25 14918  
26 10735  
27 9750  
28 00486  
29 00537  
31 15637  
32 15747  
33 12476  
34 13157  
35 15036  
36 13159  
37 08317  
38 14874  
39 08539  
41 09680  
42 18808  
43 15739  
43 15739  
43 15739  
1 8985  
2 9719  
3 15811  
4 16034  
5 8896  
6 14633  
10 13253  
11 1939  
12 6381  
13 11533  
14 16254  
15 17364  
17 15446  
18 18174  
20 20929  
21 2928  
23 10381  
25 15029  
26 10843  
27 9849  
27 9849  
27 9849  
28 579  
29 646  
32 15898  
33 12582  
34 13244  
35 15137  
35 15137  
37 8403  
38 15128  
41 9680  
42 18950  
43 15739  
44 7408  
45 11818  
46 9612  
47 9135  
48 6503  
48 6503  
50 14630  
50 14630  
52 8568  
53 5596  
54 6315  
55 9275  
56 10352  
57 11592  
58 9589  
59 12091  
60 8667  
61 13072  
62 13662  
64 13788  
65 14797  
65   
66 13588  
67 15023  
68 12609  
70 16536  
71 7360  
72 16925  
74 8511  
75 12097  
76 10651  
79 5856  
81 20592  
85 12907  
87 13549  
88 12896  
89 9925  
45 11975  
44 07541  
46 09749  
47 09244  
48 06612  
49 10491  
50 14697  
51 09989  
52 08615  
53 05677  
55 09396  
56 10493  
57 11783  
58 09719  
59 12237  
60 08844  
61 13279  
62 13673  
63 08339  
64 13887  
65 14979  
66 13782  
67 15122  
68 12715  
69 09252  
70 16656  
71 07460  
72 17227  
75 12191  
76 10713  
77 14849  
79 06017  
81 20778  
82 06958  
85 13124  
86 10919  
87 13793  
88 13168  
89 10114  
22 21294  
23 10505  
24 08049  
26 11000  
30 13299  
32 16042  
33 12782  
34 13416  
35 15300  
37 08517  
38 15363  
41 09784  
42 19156  
43 15836  
1 09086  
2 09838  
3 15935  
4 16168  
5 09035  
6 14741  
8 12808  
10 13510  
11 02054  
12 06475  
13 11663  
14 16471  
15 17573  
16 16850  
17 15585  
18 18396  
20 21149  
21 03043  
null 10609 48 кв 
null 10609 48 кв 
null 10133 50 кв 
null 10133 50 кв 
null 10133 50 
null 70  
null   
44 07744  
45 12261  
46 09913  
47 09375  
48 06767  
50 15054  
52 08699  
53 05774  
54 06786  
55 09563  
56 10893  
57 12065  
58 09942  
59 12444  
60 09072  
61 13504  
62 13732  
63 08554  
64 14051  
65 15209  
66 14053  
67 15425  
68 12978  
69 09492  
70 16804  
71 07643  
72 17644  
74 08725  
75 12305  
76 10814  
79 06157  
81 21124  
82 07092  
85 13353  
86 11021  
87 14234  
88 13480  
89 10383  
1 09229  
2 09967  
3 16117  
4 16341  
5 09180  
6 14963  
8 12984  
10 14009  
11 02160  
12 07129  
13 11823  
14 16727  
15 17855  
17 15865  
18 18676  
20 21395  
21 03134  
22 22153  
23 10807  
24 08154  
26 11194  
28 00827  
29 00818  
30 13461  
31 15983  
32 16234  
33 12997  
34 13573  
35 15724  
37 08677  
38 15748  
41 09886  
42 19417  
43 16226  
44 7945  
45 12580  
46 10083  
47 09502  
48 06909  
50 15558  
52 08760  
53 05867  
55 09715  
56 11348  
57 12353  
58 10138  
59 12597  
60 09305  
61 13710  
62 13972  
63 08847  
64 14194  
65 15402  
66 14219  
67 15702  
68 13189  
69 09681  
70 16967  
71 07830  
72 18080  
74 08875  
75 12421  
76 10923  
79 06306  
80 04989  
81 21474  
82 07187  
84 16294  
85 13583  
87 14615  
88 13725  
89 10690  
22 23112  
23 11299  
24 08251  
26 11366  
28 00996  
29 00935  
30 13600  
31 16032  
32 16493  
33 13229  
34 13778  
35 15895  
37 08853  
38 16021  
41 10033  
42 19619  
1 09440  
2 10227  
3 16312  
4 16539  
5 09336  
6 15160  
8 13187  
10 14387  
11 02264  
12 07390  
13 11969  
14 16985  
15 18048  
17 16151  
18 18946  
20 21710  
21 03224  
   
1   
1 200  
   
1 200  
1   
